world,arm,uid,ic_uid,stage,n_rows,path_len,net_disp,tortuosity,idle_frac,wander,mean_step,eef_std_x,eef_std_y,eef_std_z,reward_sum
w3,dH,103007,326,picked,71,0.272,0.1118,2.432,0.0,0.0509,0.00383,0.0279,0.0102,0.0296,1.0
w3,dH,104000,242,picked,58,0.478,0.1709,2.797,0.0,0.0606,0.00824,0.0465,0.0258,0.0273,1.0
w3,dH,104001,252,picked,164,0.4262,0.1081,3.945,0.0,0.0833,0.0026,0.0448,0.0116,0.0169,1.0
w3,dH,104002,265,picked,199,0.482,0.1682,2.865,0.005,0.0716,0.00242,0.0395,0.0189,0.0285,1.0
w3,dH,104003,277,picked,70,0.3071,0.0976,3.147,0.0,0.0423,0.00439,0.0333,0.0062,0.0323,1.0
w3,dH,104004,287,picked,199,0.7977,0.036,22.156,0.0,0.0924,0.00401,0.0474,0.0216,0.0293,1.0
w3,dH,104005,302,picked,149,0.6695,0.1202,5.568,0.0,0.0649,0.00449,0.0456,0.019,0.0179,1.0
w3,dH,104006,316,picked,163,0.5866,0.1343,4.368,0.0,0.0518,0.0036,0.0407,0.0266,0.0304,1.0
w3,dH,104007,327,picked,128,0.7316,0.1876,3.9,0.0,0.0649,0.00572,0.0259,0.068,0.0657,1.0
w3,dH,105000,243,picked,44,0.3027,0.1063,2.849,0.0,0.0586,0.00688,0.0402,0.0202,0.0242,1.0
w3,dH,105001,254,picked,130,0.6609,0.1169,5.651,0.0,0.0899,0.00508,0.0506,0.0228,0.0392,1.0
w3,dH,105002,266,picked,140,0.4126,0.115,3.587,0.0,0.0619,0.00295,0.0237,0.0076,0.0293,1.0
w3,dH,105003,278,picked,65,0.4296,0.2047,2.099,0.0,0.0464,0.00661,0.0368,0.0714,0.0356,1.0
w3,dH,105005,304,picked,122,0.3809,0.1653,2.304,0.0,0.0489,0.00312,0.04,0.0358,0.025,1.0
w3,dH,105006,317,picked,101,0.3656,0.1299,2.815,0.0,0.0345,0.00362,0.039,0.0161,0.027,1.0
w3,dH,105007,328,picked,220,0.8208,0.1526,5.378,0.0,0.0566,0.00373,0.0426,0.0512,0.0604,1.0
w3,dH,106001,256,picked,131,0.8747,0.2534,3.451,0.0,0.0576,0.00668,0.0359,0.1083,0.0361,1.0
w3,dH,106002,267,picked,161,0.6342,0.1264,5.015,0.0,0.1226,0.00394,0.04,0.0571,0.0293,1.0
w3,dH,106003,279,picked,212,0.3633,0.1522,2.387,0.0,0.0225,0.00171,0.051,0.0497,0.0276,1.0
w3,dH,106005,305,picked,97,0.3426,0.1074,3.19,0.0,0.0682,0.00353,0.0416,0.0101,0.0201,1.0
w3,dH,106007,329,picked,82,0.2817,0.107,2.633,0.0,0.062,0.00344,0.0349,0.0146,0.0176,1.0
w3,dH,107001,257,picked,86,0.4724,0.0904,5.229,0.0,0.0799,0.00549,0.0508,0.0316,0.021,1.0
w3,dH,107002,269,picked,115,0.5786,0.1315,4.401,0.0,0.0824,0.00503,0.0421,0.0318,0.0425,1.0
w3,dH,107003,280,picked,56,0.333,0.0886,3.76,0.0,0.0393,0.00595,0.0357,0.0101,0.0344,1.0
w3,dH,107004,297,picked,84,0.4041,0.1588,2.545,0.0,0.055,0.00481,0.0376,0.0221,0.0363,1.0
w3,dH,107005,306,picked,157,0.8191,0.1948,4.204,0.0,0.0519,0.00522,0.0398,0.0509,0.0458,1.0
w3,dH,107006,319,picked,110,0.5466,0.1651,3.312,0.0,0.0457,0.00497,0.034,0.0224,0.021,1.0
w3,dH,107007,330,picked,207,0.9923,0.1582,6.274,0.0,0.0811,0.00479,0.0314,0.0643,0.0316,1.0
w3,dDP,100001,232,picked,106,0.4728,0.1566,3.02,0.0,0.0416,0.00446,0.0371,0.0262,0.021,1.0
w3,dDP,100003,254,picked,126,0.6473,0.1181,5.483,0.0,0.0883,0.00514,0.0495,0.0226,0.0393,1.0
w3,dDP,100004,269,picked,128,0.6002,0.1371,4.376,0.0,0.0878,0.00469,0.0416,0.0304,0.041,1.0
w3,dDP,100005,280,picked,104,0.3496,0.1273,2.747,0.0,0.0337,0.00336,0.0387,0.0145,0.0268,1.0
w3,dDP,100007,302,picked,160,0.6812,0.1235,5.515,0.0,0.0608,0.00426,0.0439,0.0181,0.0168,1.0
w3,dDP,100008,311,picked,138,0.6173,0.1321,4.672,0.0,0.113,0.00447,0.0425,0.0576,0.0307,1.0
w3,dDP,100009,325,picked,121,0.4826,0.1702,2.835,0.0,0.0536,0.00399,0.0338,0.0236,0.0249,1.0
w3,dDP,100010,233,picked,80,0.5091,0.0667,7.632,0.0,0.0676,0.00636,0.0421,0.0187,0.027,1.0
w3,dDP,100011,278,picked,145,0.6305,0.1265,4.983,0.0,0.1184,0.00435,0.0415,0.0574,0.0305,1.0
w3,dDP,101003,247,picked,104,0.5279,0.2186,2.415,0.0,0.0588,0.00508,0.03,0.0622,0.0321,1.0
w3,dDP,101004,256,picked,105,0.7672,0.1624,4.724,0.0,0.0841,0.00731,0.0391,0.0601,0.038,1.0
w3,dDP,101005,273,picked,86,0.3555,0.1488,2.389,0.0,0.0516,0.00413,0.0361,0.0215,0.0323,1.0
w3,dDP,101006,281,picked,121,0.5303,0.1957,2.709,0.0,0.0263,0.00438,0.0357,0.0849,0.0215,1.0
w3,dDP,101008,304,picked,235,0.9212,0.1627,5.662,0.0,0.0509,0.00392,0.0451,0.0593,0.058,1.0
w3,dDP,101009,315,picked,200,0.8825,0.1723,5.121,0.0,0.0405,0.00441,0.0479,0.0396,0.0356,1.0
w3,dDP,101010,326,picked,99,0.5065,0.0448,11.297,0.0,0.0822,0.00512,0.0457,0.0141,0.0168,1.0
w3,dDP,101011,259,picked,97,0.6132,0.1371,4.475,0.0,0.096,0.00632,0.05,0.0551,0.0317,1.0
w3,dDP,101012,301,picked,143,0.5692,0.1295,4.394,0.0,0.0598,0.00398,0.0421,0.0264,0.0239,1.0
w3,dDP,102001,235,picked,73,0.4292,0.1022,4.198,0.0,0.073,0.00588,0.0461,0.0194,0.0258,1.0
w3,dDP,102003,248,picked,143,0.5579,0.1579,3.534,0.0,0.0732,0.0039,0.0402,0.0266,0.0408,1.0
