learner,dataset,seed,in_design,run,training_record,home,picked,cells,excluded_reason
{r2dreamer},r2teacher,0,True,full_r2d_state_native_rns10h_img_r2dreamer_s0,True,0.6333333333333333,0.7166666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s0/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s0/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},r2teacher,1,True,full_r2d_state_native_rns10h_img_r2dreamer_s1,True,0.6333333333333333,0.6833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s1/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s1/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},r2teacher,2,True,full_r2d_state_native_rns10h_img_r2dreamer_s2,True,0.6833333333333333,0.7666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s2/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s2/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},r2teacher,3,True,full_r2d_state_native_rns10h_img_r2dreamer_s3,True,,,,no rnd30_mode cell at 1500k
{r2dreamer},r2teacher,4,True,full_r2d_state_native_rns10h_img_r2dreamer_s4,True,,,,no rnd30_mode cell at 1500k
{r2dreamer},r2teacher,5,True,full_r2d_state_native_rns10h_img_r2dreamer_s5,True,,,,no rnd30_mode cell at 1500k
{r2dreamer},r2teacher,6,True,full_r2d_state_native_rns10h_img_r2dreamer_s6,True,,,,no rnd30_mode cell at 1500k
{r2dreamer},r2teacher,7,True,full_r2d_state_native_rns10h_img_r2dreamer_s7,True,0.6166666666666667,0.7666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s7/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_r2dreamer_s7/online_2000000/rnd30_mode/metrics.json,
{RLPD},human,0,True,e2e_rlpd_px_dH_s0,True,0.0,0.13333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s0/fresh_eval_rnd30_mode/metrics.json,
{RLPD},human,1,True,e2e_rlpd_px_dH_s1,True,0.0,0.1,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s1/fresh_eval_rnd30_mode/metrics.json,
{RLPD},human,2,True,e2e_rlpd_px_dH_s2,True,0.0,0.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s2/fresh_eval_rnd30_mode/metrics.json,
{RLPD},human,3,True,e2e_rlpd_px_dH_s3,True,0.0,0.23333333333333334,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s3/fresh_eval_rnd30_mode/metrics.json,
{RLPD},human,4,True,e2e_rlpd_px_dH_s4,True,0.0,0.2,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s4/fresh_eval_rnd30_mode/metrics.json,
{RLPD},human,5,True,e2e_rlpd_px_dH_s5,True,0.0,0.16666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s5/fresh_eval_rnd30_mode/metrics.json,
{RLPD},human,6,True,e2e_rlpd_px_dH_s6,True,0.0,0.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s6/fresh_eval_rnd30_mode/metrics.json,
{RLPD},human,7,True,e2e_rlpd_px_dH_s7,True,0.0,0.1,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s7/fresh_eval_rnd30_mode/metrics.json,
{RLPD},human,8,False,e2e_rlpd_px_dH_s8,True,0.0,0.2,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dH_s8/fresh_eval_rnd30_mode/metrics.json,outside the n=8 design
{RLPD},machine,0,True,e2e_rlpd_px_dDPfirst_s0,True,0.0,0.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_pxr/e2e_px/e2e_rlpd_px_dDPfirst_s0/fresh_eval_rnd30_mode/metrics.json,
