learner,dataset,seed,in_design,home,picked,cells,excluded_reason
{DreamerV3 losses},planner72,4,True,0.0,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s4/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s4/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},planner72,5,True,0.0,0.3,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s5/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s5/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},planner72,6,True,0.0,0.03333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s6/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s6/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},planner72,7,True,0.0,0.2833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s7/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/evaluation/full_r2d_state_native_rns10h_img_dreamer_s7/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},r2teacher,0,True,0.5666666666666667,0.6499999999999999,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_dreamer_s0/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_dreamer_s0/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},r2teacher,1,True,0.6,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_dreamer_s1/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_dreamer_s1/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},r2teacher,2,True,,,,no sampled cell yet
{DreamerV3 losses},r2teacher,3,True,,,,no sampled cell yet
{DreamerV3 losses},r2teacher,4,True,,,,no sampled cell yet
{DreamerV3 losses},r2teacher,5,True,,,,no sampled cell yet
