comparison,arm_role,arm,seed,k,n,cell,statistic,action_mode,source,path
pick_rnd30_r2d_sample,machine,dDP,6,16,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s6/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_r2d_sample,machine,dDP,7,20,30,rnd30,picked,sample,cluster:wm,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/s2_r2d_pick_state_dDP_bnormclamp1ent5_s7/fresh_eval_rnd30_sample/metrics.json
pick_rnd30_dv3,human,dHv2raw,0,21,30,rnd30_recov,picked,sample,cluster:dv3,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/dv3dbg_pick_dHv2raw_clamp1_s0/fresh_eval_rnd30_recov/metrics.json
pick_rnd30_dv3,human,dHv2raw,1,21,30,rnd30_recov,picked,sample,cluster:dv3,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/dv3dbg_pick_dHv2raw_clamp1_s1/fresh_eval_rnd30_recov/metrics.json
pick_rnd30_dv3,machine,dDP,0,19,30,rnd30_recov,picked,sample,cluster:dv3,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/dv3dbg_pick_dDP_clamp1_s0/fresh_eval_rnd30_recov/metrics.json
pick_rnd30_dv3,machine,dDP,1,19,30,rnd30_recov,picked,sample,cluster:dv3,/cluster/tufts/shortlab/jstale02/wm_fix_2026-09-03/runs/dv3dbg_pick_dDP_clamp1_s1/fresh_eval_rnd30_recov/metrics.json
pick_spots60_dp,human,dH,20,53,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s20/sweep/selected_spots60/sweep.json
pick_spots60_dp,human,dH,21,58,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s21/sweep/selected_spots60/sweep.json
pick_spots60_dp,human,dH,22,52,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s22/sweep/selected_spots60/sweep.json
pick_spots60_dp,human,dH,23,53,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s23/sweep/selected_spots60/sweep.json
pick_spots60_dp,human,dH,24,52,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s24/sweep/selected_spots60/sweep.json
pick_spots60_dp,human,dH,25,53,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s25/sweep/selected_spots60/sweep.json
