run,cell,arm,episodes,ep_diff,moved,structural_only,cols_changed,structural_cols,orig_host,orig_cores,orig_isa,rescore_host,rescore_cores,rescore_isa
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s0,fresh_eval_polE_mode,human,160,40,1,0,contact|placed,placed,pax070,36,avx2,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s0,fresh_eval_polE_sample,human,160,0,0,0,,,pax097,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s1,fresh_eval_holdE_mode,human,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s1,fresh_eval_holdE_sample,human,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s1,fresh_eval_polE_mode,human,160,36,1,0,contact|placed,,pax070,36,avx2,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s1,fresh_eval_polE_sample,human,160,57,1,0,,,pax070,36,avx2,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s2,fresh_eval_holdE_mode,human,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s2,fresh_eval_holdE_sample,human,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s2,fresh_eval_polE_mode,human,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s2,fresh_eval_polE_sample,human,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s3,fresh_eval_holdE_mode,human,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s3,fresh_eval_holdE_sample,human,11,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s3,fresh_eval_polE_mode,human,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s3,fresh_eval_polE_sample,human,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s4,fresh_eval_holdE_mode,human,11,0,0,0,,,pax113,64,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s4,fresh_eval_holdE_sample,human,11,0,0,0,,,pax113,64,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s4,fresh_eval_polE_mode,human,160,31,1,0,contact,,pax070,36,avx2,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s4,fresh_eval_polE_sample,human,160,0,0,0,,,pax119,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s5,fresh_eval_holdE_mode,human,11,0,0,0,,,pax118,48,avx512,,,
s2_r2d_contact_state_dH_bnormclamp1ent5_subfloor_s5,fresh_eval_holdE_sample,human,11,0,0,0,,,pax118,48,avx512,,,
